,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
126,8.0,64,10,"[12, 3, 5, 6, 9, 16, 13, 1, 12, 2, 15, 3, 10, 4, 10, 0, 17, 6, 11, 14]",12.452246984998055,10,2048
127,6.0,128,10,"[12, 3, 5, 13, 9, 16, 13, 1, 12, 2, 18, 3, 10, 4, 10, 0, 17, 6, 11, 14]",12.605340367997997,10,2048
128,5.0,256,10,"[12, 3, 5, 13, 9, 16, 13, 1, 12, 2, 18, 3, 10, 4, 10, 0, 15, 6, 11, 14]",12.822343702999206,10,2048
129,3.0,512,10,"[12, 17, 5, 13, 9, 16, 13, 1, 12, 2, 18, 3, 10, 4, 10, 0, 15, 6, 19, 14]",13.17764304499724,10,2048
130,3.0,1024,10,"[12, 17, 5, 13, 9, 16, 13, 1, 12, 2, 18, 3, 10, 4, 10, 0, 15, 6, 19, 14]",13.651878991997364,10,2048
131,3.0,2048,10,"[12, 17, 5, 13, 9, 16, 13, 1, 12, 2, 18, 3, 10, 4, 10, 0, 15, 6, 19, 14]",13.651878991997364,10,2048
132,17.0,0,25,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.0006634130004385952,0,2048
133,17.0,2,25,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.0020711090000986587,0,2048
134,16.0,4,25,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 0, 11, 10]",0.09810057200229494,0,2048
135,16.0,8,25,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 0, 11, 10]",0.1954135700034385,0,2048
136,11.0,16,25,"[5, 11, 12, 4, 9, 11, 18, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 0, 16, 10]",0.29486707700198167,0,2048
137,8.0,32,25,"[4, 11, 13, 4, 9, 11, 18, 15, 1, 16, 1, 12, 7, 13, 6, 18, 5, 0, 16, 10]",0.40077914300127304,0,2048
138,4.0,64,25,"[14, 11, 13, 4, 9, 11, 2, 15, 1, 16, 0, 12, 7, 13, 6, 18, 5, 19, 16, 10]",0.5127702860008867,0,2048
139,3.0,128,25,"[14, 11, 13, 4, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.6433040800002345,0,2048
140,2.0,256,25,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.8082808060025855,0,2048
141,2.0,512,25,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",1.0447091060013918,0,2048
142,2.0,1024,25,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",1.2588869080027507,0,2048
143,2.0,2048,25,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",1.2588869080027507,0,2048
144,23.0,0,25,"[2, 17, 2, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 8, 11, 3, 8, 17, 19]",1.3585284160035371,1,2048
145,19.0,2,25,"[2, 17, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",1.360976877000212,1,2048
146,19.0,4,25,"[2, 17, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",1.4612757780014363,1,2048
147,19.0,8,25,"[2, 17, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",1.5607742160027556,1,2048
148,16.0,16,25,"[4, 2, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",1.6669912230026966,1,2048
149,14.0,32,25,"[4, 2, 19, 19, 3, 19, 2, 10, 16, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",1.7757461210021575,1,2048
150,9.0,64,25,"[4, 2, 19, 19, 3, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",1.8966011730008177,1,2048
151,5.0,128,25,"[13, 5, 7, 19, 3, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",2.032326500000636,1,2048
152,5.0,256,25,"[13, 5, 7, 19, 3, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",2.2085521450026135,1,2048
153,3.0,512,25,"[13, 5, 7, 1, 18, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",2.4623044810032297,1,2048
154,3.0,1024,25,"[13, 5, 7, 1, 18, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",2.789506261000497,1,2048
155,3.0,2048,25,"[13, 5, 7, 1, 18, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",2.789506261000497,1,2048
156,20.0,0,25,"[14, 15, 13, 5, 1, 2, 14, 19, 13, 19, 11, 5, 19, 0, 15, 2, 9, 6, 7, 6]",2.897690567002428,2,2048
157,19.0,2,25,"[10, 15, 13, 5, 1, 2, 14, 19, 13, 19, 11, 5, 19, 0, 15, 2, 9, 6, 7, 6]",2.899803446001897,2,2048
158,18.0,4,25,"[10, 15, 13, 5, 1, 2, 14, 19, 13, 19, 11, 5, 19, 0, 15, 2, 9, 6, 13, 6]",3.007678930000111,2,2048
159,10.0,8,25,"[10, 15, 7, 5, 1, 3, 14, 19, 4, 19, 11, 5, 19, 0, 15, 2, 9, 6, 13, 18]",3.1194984420035325,2,2048
160,9.0,16,25,"[10, 15, 7, 5, 1, 3, 14, 19, 4, 19, 11, 11, 19, 0, 15, 2, 9, 6, 13, 18]",3.2319259270007024,2,2048
